"Species"	"SumOfkm2"
"Abies amabilis"	218637.83
"Abies balsamea"	648383.84
"Abies bifolia"	1353597.77
"Abies bracteata"	16886.46
"Abies concolor"	1386548.69
"Abies fraseri"	23798.01
"Abies grandis"	548299.44
"Abies lasiocarpa"	191991.11
"Abies magnifica"	193466.83
"Abies procera"	154837.64
"Abildgaardia ovata"	22388.10
"Abronia alpina"	12554.66
"Abronia ameliae"	21169.84
"Abronia ammophila"	18025.92
"Abronia angustifolia"	337577.35
"Abronia bigelovii"	29764.07
"Abronia bolackii"	14339.65
"Abronia carletonii"	95248.03
"Abronia elliptica"	825729.89
"Abronia fragrans"	1141547.06
"Abronia glabrifolia"	82566.63
"Abronia latifolia"	129243.43
"Abronia macrocarpa"	7358.20
"Abronia maritima"	43593.19
"Abronia mellifera"	342428.46
"Abronia nana"	524020.90
"Abronia pogonantha"	195621.57
"Abronia turbinata"	489597.99
"Abronia umbellata"	164850.32
"Abronia villosa"	397820.23
"Abutilon abutiloides"	179269.36
"Abutilon berlandieri"	90989.06
"Abutilon coahuilae"	37634.62
"Abutilon fruticosum"	447952.00
"Abutilon hulseanum"	32699.30
"Abutilon hypoleucum"	2270.36
"Abutilon incanum"	269466.49
"Abutilon malacum"	270585.08
"Abutilon mollicomum"	137693.56
"Abutilon palmeri"	104750.27
"Abutilon parishii"	110229.45
"Abutilon parvulum"	745425.43
"Abutilon permolle"	22712.19
"Abutilon reventum"	35811.99
"Abutilon trisulcatum"	9500.31
"Abutilon wrightii"	263988.16
"Acaciella angustissima"	1162574.36
"Acaena pinnatifida"	46349.43
"Acalypha californica"	60612.55
"Acalypha chamaedrifolia"	15544.10
"Acalypha deamii"	105726.61
"Acalypha gracilens"	1595581.58
"Acalypha mexicana"	15924.34
"Acalypha monococca"	572338.86
"Acalypha monostachya"	155182.63
"Acalypha neomexicana"	496716.99
"Acalypha ostryifolia"	1334646.46
"Acalypha phleoides"	404077.09
"Acalypha poiretii"	11587.24
"Acalypha radians"	116760.71
"Acalypha rhomboidea"	2620500.43
"Acalypha subviscida"	11632.18
"Acalypha virginica"	1866006.89
"Acamptopappus shockleyi"	205081.70
"Acamptopappus sphaerocephalus"	458575.41
"Acanthocereus tetragonus"	56034.59
"Acanthomintha duttonii"	1103.50
"Acanthomintha ilicifolia"	10952.72
"Acanthomintha lanceolata"	45494.01
"Acanthomintha obovata"	58178.29
"Acanthoscyphus parishii"	22109.88
"Acer circinatum"	300127.21
"Acer floridanum"	702730.92
"Acer glabrum"	2314337.85
"Acer grandidentatum"	683159.70
"Acer leucoderme"	293442.62
"Acer macrophyllum"	439400.10
"Acer negundo"	5242646.49
"Acer nigrum"	1012488.91
"Acer pensylvanicum"	587340.81
"Acer rubrum"	2736335.83
"Acer saccharinum"	2716386.17
"Acer saccharum"	2062490.60
"Acer spicatum"	924711.07
"Achillea alpina"	22690.52
"Achillea millefolium"	6812180.12
"Achlys triphylla"	240325.02
"Achnatherum aridum"	578017.77
"Achnatherum arnowiae"	68963.65
"Achnatherum contractum"	237866.55
"Achnatherum coronatum"	211251.50
"Achnatherum curvifolium"	75488.65
"Achnatherum diegoense"	22660.79
"Achnatherum eminens"	244596.50
"Achnatherum hendersonii"	49685.90
"Achnatherum hymenoides"	3029950.26
"Achnatherum latiglume"	93336.29
"Achnatherum lemmonii"	878806.61
"Achnatherum lettermanii"	1730560.78
"Achnatherum lobatum"	318767.74
"Achnatherum nelsonii"	2348525.29
"Achnatherum nevadense"	680906.71
"Achnatherum occidentale"	1502798.31
"Achnatherum parishii"	571694.38
"Achnatherum perplexum"	439732.01
"Achnatherum pinetorum"	801159.83
"Achnatherum richardsonii"	478293.02
"Achnatherum robustum"	612174.87
"Achnatherum scribneri"	449393.64
"Achnatherum stillmanii"	68290.35
"Achnatherum swallenii"	85545.70
"Achnatherum thurberianum"	960998.57
"Achnatherum wallowaense"	20573.12
"Achnatherum webberi"	499506.63
"Achyrachaena mollis"	279404.07
"Achyranthes aspera"	31305.60
"Achyronychia cooperi"	273855.86
"Acleisanthes acutifolia"	38154.37
"Acleisanthes angustifolia"	34478.96
"Acleisanthes anisophylla"	26188.17
"Acleisanthes chenopodioides"	229970.02
"Acleisanthes crassifolia"	23978.65
"Acleisanthes diffusa"	278736.87
"Acleisanthes lanceolata"	172284.19
"Acleisanthes longiflora"	533364.80
"Acleisanthes nevadensis"	194341.87
"Acleisanthes obtusa"	89050.65
"Acleisanthes parvifolia"	47411.16
"Acleisanthes wrightii"	42768.30
"Acmella repens"	677874.42
"Acmispon americanus"	2398322.58
"Acmispon argophyllus"	252478.75
"Acmispon argyraeus"	128859.76
"Acmispon brachycarpus"	822492.46
"Acmispon cytisoides"	30137.47
"Acmispon dendroideus"	22109.88
"Acmispon denticulatus"	353367.50
"Acmispon glaber"	319864.91
"Acmispon grandiflorus"	177273.00
"Acmispon greenei"	110294.63
"Acmispon haydonii"	22584.90
"Acmispon heermannii"	151367.64
"Acmispon junceus"	47034.64
"Acmispon maritimus"	420472.60
"Acmispon mearnsii"	195455.91
"Acmispon micranthus"	123042.83
"Acmispon nevadensis"	327964.66
"Acmispon oroboides"	624427.06
"Acmispon parviflorus"	457993.36
"Acmispon procumbens"	220115.42
"Acmispon prostratus"	10952.72
"Acmispon rigidus"	522468.39
"Acmispon rubriflorus"	14563.86
"Acmispon strigosus"	507882.27
"Acmispon utahensis"	193011.50
"Acmispon wrangelianus"	292982.14
"Acmispon wrightii"	539313.89
"Acoelorrhaphe wrightii"	12808.02
"Aconitum columbianum"	2184852.33
"Aconitum infectum"	48318.62
"Aconitum reclinatum"	47191.42
"Aconitum uncinatum"	217944.63
"Aconogonon davisiae"	307523.69
"Aconogonon phytolaccifolium"	417120.71
"Acorus americanus"	831278.11
"Acourtia microcephala"	51994.62
"Acourtia nana"	528478.70
"Acourtia runcinata"	171701.91
"Acourtia thurberi"	95646.26
"Acourtia wrightii"	608544.83
"Acrostichum aureum"	34870.34
"Acrostichum danaeifolium"	90857.99
"Actaea arizonica"	60692.46
"Actaea elata"	118655.63
"Actaea laciniata"	12485.16
"Actaea pachypoda"	1755156.64
"Actaea podocarpa"	131969.39
"Actaea racemosa"	892067.69
"Actaea rubifolia"	39095.22
"Actaea rubra"	3377249.42
"Actinostachys pennula"	18231.73
"Adelia vaseyi"	10986.85
"Adenocaulon bicolor"	718864.89
"Adenophyllum cooperi"	255361.44
"Adenophyllum porophylloides"	343346.91
"Adenophyllum porophyllum"	15924.34
"Adenophyllum wrightii"	67823.36
"Adenostoma fasciculatum"	365902.13
"Adenostoma sparsifolium"	49949.06
"Adiantum aleuticum"	946817.79
"Adiantum capillus-veneris"	1784990.30
"Adiantum jordanii"	365807.32
"Adiantum melanoleucum"	5112.39
"Adiantum pedatum"	2461657.13
"Adiantum tenerum"	24280.73
"Adiantum tricholepis"	5535.13
"Adiantum villosum"	5112.39
"Adiantum viridimontanum"	19491.96
"Adlumia fungosa"	526036.05
"Adolphia californica"	10952.72
"Adolphia infesta"	93117.94
"Adoxa moschatellina"	387648.07
"Aegiphila elata"	5112.39
"Aeschynomene americana"	150714.44
"Aeschynomene pratensis"	14307.06
"Aeschynomene villosa"	19096.40
"Aeschynomene virginica"	33639.75
"Aeschynomene viscidula"	155991.18
"Aesculus californica"	246575.36
"Aesculus flava"	331565.73
"Aesculus glabra"	1030802.15
"Aesculus parviflora"	86757.67
"Aesculus pavia"	1032064.60
"Aesculus sylvatica"	214691.51
"Agalinis acuta"	22457.04
"Agalinis aphylla"	124061.50
"Agalinis aspera"	650010.30
"Agalinis auriculata"	331945.01
"Agalinis caddoensis"	2438.58
"Agalinis calycina"	44090.02
"Agalinis decemloba"	101199.15
"Agalinis densiflora"	107149.45
"Agalinis divaricata"	78646.24
"Agalinis edwardsiana"	35931.75
"Agalinis fasciculata"	1090154.44
"Agalinis filicaulis"	88485.46
"Agalinis filifolia"	141740.05
"Agalinis flexicaulis"	770.79
"Agalinis gattingeri"	529192.15
"Agalinis georgiana"	34609.39
"Agalinis harperi"	118368.68
"Agalinis heterophylla"	561514.20
"Agalinis homalantha"	116935.26
"Agalinis laxa"	32274.93
"Agalinis linifolia"	309916.44
"Agalinis maritima"	197700.59
"Agalinis navasotensis"	4516.49
"Agalinis neoscotica"	16220.78
"Agalinis obtusifolia"	386842.54
"Agalinis oligophylla"	106679.86
"Agalinis paupercula"	521844.48
"Agalinis plukenetii"	169489.76
"Agalinis pulchella"	87585.03
"Agalinis purpurea"	1573411.91
"Agalinis setacea"	357210.64
"Agalinis skinneriana"	191011.85
"Agalinis strictifolia"	95428.64
"Agalinis tenella"	68634.51
"Agalinis tenuifolia"	2953957.16
"Agalinis viridis"	148974.78
"Agarista populifolia"	33799.74
"Agastache breviflora"	68820.07
"Agastache cana"	87610.80
"Agastache cusickii"	262290.47
"Agastache foeniculum"	557310.91
"Agastache mearnsii"	42750.53
"Agastache micrantha"	246519.25
"Agastache nepetoides"	1129267.48
"Agastache occidentalis"	35673.76
"Agastache pallida"	3172.05
"Agastache pallidiflora"	530772.50
"Agastache parvifolia"	56322.98
"Agastache pringlei"	9879.05
"Agastache rupestris"	181573.76
"Agastache scrophulariifolia"	600221.80
"Agastache urticifolia"	1620168.90
"Agastache wrightii"	161764.43
"Agave americana"	5381.92
"Agave chrysantha"	126153.79
"Agave decipiens"	33409.24
"Agave delamateri"	57333.72
"Agave deserti"	259888.50
"Agave glomeruliflora"	43493.02
"Agave gracilipes"	67194.64
"Agave havardiana"	34236.23
"Agave lechuguilla"	161366.86
"Agave mckelveyana"	55984.64
"Agave murpheyi"	71245.40
"Agave neglecta"	6319.47
"Agave palmeri"	125994.38
"Agave parryi"	372021.32
"Agave parviflora"	26895.00
"Agave phillipsiana"	48318.62
"Agave schottii"	101573.14
"Agave shawii"	10952.72
"Agave toumeyana"	83334.44
"Agave univittata"	9374.32
"Agave utahensis"	263617.59
"Agave verdensis"	69387.16
"Agave yavapaiensis"	21068.54
"Ageratina altissima"	2932384.43
"Ageratina aromatica"	830869.17
"Ageratina havanensis"	62410.65
"Ageratina herbacea"	899019.82
"Ageratina jucunda"	127044.95
"Ageratina lemmonii"	33898.61
"Ageratina luciae-brauniae"	12173.52
"Ageratina occidentalis"	824418.82
"Ageratina paupercula"	72051.56
"Ageratina rothrockii"	228981.86
"Ageratina shastensis"	9989.57
"Ageratina thyrsiflora"	3172.05
"Ageratina wrightii"	160718.41
"Ageratum corymbosum"	8861.73
"Ageratum maritimum"	2517.32
"Agnorhiza bolanderi"	47491.80
"Agnorhiza elata"	43377.19
"Agnorhiza invenusta"	49252.71
"Agnorhiza ovata"	57073.86
"Agnorhiza reticulata"	8682.30
"Agoseris apargioides"	127787.78
"Agoseris aurantiaca"	1997403.69
"Agoseris glauca"	2644043.68
"Agoseris grandiflora"	1015725.82
"Agoseris heterophylla"	1454114.49
"Agoseris hirsuta"	62160.11
"Agoseris monticola"	551034.70
"Agoseris parviflora"	1908179.75
"Agoseris retrorsa"	661202.94
"Agrimonia gryposepala"	1981713.80
"Agrimonia incisa"	139742.87
"Agrimonia microcarpa"	460196.64
"Agrimonia parviflora"	1329186.98
"Agrimonia pubescens"	1558247.13
"Agrimonia rostellata"	1393390.05
"Agrimonia striata"	1738105.33
"Agrostis blasdalei"	16587.65
"Agrostis densiflora"	78790.74
"Agrostis elliottiana"	827695.49
"Agrostis exarata"	2834235.02
"Agrostis hallii"	140644.31
"Agrostis hendersonii"	42880.44
"Agrostis hooveri"	15405.74
"Agrostis howellii"	7161.63
"Agrostis hyemalis"	2679323.07
"Agrostis idahoensis"	1492722.57
"Agrostis lacuna-vernalis"	8401.42
"Agrostis mertensii"	273524.28
"Agrostis microphylla"	269216.05
"Agrostis oregonensis"	553385.24
"Agrostis pallens"	814514.30
"Agrostis perennans"	2424005.52
"Agrostis rossiae"	10916.89
"Agrostis scabra"	4117741.35
"Agrostis variabilis"	1199965.01
"Aletes acaulis"	138358.36
"Aletes humilis"	19934.75
"Aletris aurea"	472008.14
"Aletris bracteata"	7629.71
"Aletris farinosa"	858499.75
"Aletris lutea"	250194.11
"Aletris obovata"	125479.35
