"Habit"	"SUBSECTION"	"abun"
"E.F"	"211Aa"	0.10
"E.F"	"211Ab"	0.10
"E.F"	"211Ba"	0.05
"E.F"	"211Bb"	0.06
"E.F"	"211Cb"	1.86680239901844e-04
"E.F"	"211Da"	0.06
"E.F"	"211Db"	0.03
"E.F"	"211Dc"	0.06
"E.F"	"211Ea"	0.09
"E.F"	"211Eb"	0.10
"E.F"	"211Ec"	0.02
"E.F"	"211Ee"	0.09
"E.F"	"211Fa"	0.10
"E.F"	"211Fb"	0.10
"E.F"	"211Fc"	0.10
"E.F"	"211Fd"	0.09
"E.F"	"211Ff"	0.09
"E.F"	"211Ga"	0.12
"E.F"	"211Gb"	0.11
"E.F"	"211Ia"	0.09
"E.F"	"211Ib"	0.11
"E.F"	"211Ja"	0.11
"E.F"	"211Jb"	0.06
"E.F"	"211Jc"	0.09
"E.F"	"211Jd"	0.09
"E.F"	"221Aa"	0.04
"E.F"	"221Ac"	0.04
"E.F"	"221Ad"	0.03
"E.F"	"221Ae"	0.07
"E.F"	"221Af"	0.07
"E.F"	"221Ag"	0.03
"E.F"	"221Ah"	0.08
"E.F"	"221Ai"	0.03
"E.F"	"221Al"	0.01
"E.F"	"221Am"	0.08
"E.F"	"221An"	0.05
"E.F"	"221Ba"	0.08
"E.F"	"221Bb"	0.07
"E.F"	"221Bc"	0.09
"E.F"	"221Bd"	0.08
"E.F"	"221Da"	0.08
"E.F"	"221Db"	0.05
"E.F"	"221Dc"	0.10
"E.F"	"221Dd"	0.12
"E.F"	"221De"	0.15
"E.F"	"221Ea"	0.09
"E.F"	"221Eb"	0.18
"E.F"	"221Ec"	0.10
"E.F"	"221Ed"	0.05
"E.F"	"221Ee"	0.01
"E.F"	"221Ef"	0.08
"E.F"	"221Eg"	0.06
"E.F"	"221Ej"	0.14
"E.F"	"221En"	0.09
"E.F"	"221Fa"	0.07
"E.F"	"221Fb"	0.06
"E.F"	"221Fc"	0.02
"E.F"	"221Ha"	0.28
"E.F"	"221Hb"	0.23
"E.F"	"221Hc"	0.18
"E.F"	"221Hd"	0.18
"E.F"	"221He"	0.24
"E.F"	"221Ja"	0.15
"E.F"	"221Jb"	0.17
"E.F"	"221Jc"	0.19
"E.F"	"222Hb"	2.94469397707239e-03
"E.F"	"222Hc"	0.08
"E.F"	"222Ia"	0.03
"E.F"	"222Ib"	0.02
"E.F"	"222Ic"	0.01
"E.F"	"222Id"	0.04
"E.F"	"222Ie"	0.04
"E.F"	"223Aa"	0.09
"E.F"	"223Ab"	0.08
"E.F"	"223Ac"	5.89178013256615e-03
"E.F"	"223Ad"	0.08
"E.F"	"223Ae"	0.09
"E.F"	"223Af"	0.08
"E.F"	"223Ag"	0.09
"E.F"	"223Ah"	0.03
"E.F"	"223Aj"	0.06
"E.F"	"223Ak"	0.04
"E.F"	"223Al"	0.08
"E.F"	"223Am"	0.02
"E.F"	"223An"	0.09
"E.F"	"223Ao"	0.05
"E.F"	"223Ap"	0.03
"E.F"	"223Aq"	0.07
"E.F"	"223Ba"	0.03
"E.F"	"223Bb"	0.13
"E.F"	"223Bc"	0.10
"E.F"	"223Bd"	0.14
"E.F"	"223Da"	0.08
"E.F"	"223Db"	0.02
"E.F"	"223Dc"	0.08
"E.F"	"223Dd"	0.12
"E.F"	"223De"	0.11
"E.F"	"223Df"	0.09
"E.F"	"223Dg"	0.13
"E.F"	"223Dh"	0.09
"E.F"	"223Di"	0.09
"E.F"	"223Dj"	0.10
"E.F"	"223Ea"	0.17
"E.F"	"223Eb"	0.17
"E.F"	"223Ec"	0.13
"E.F"	"223Ed"	0.13
"E.F"	"223Ee"	0.11
"E.F"	"223Ef"	0.10
"E.F"	"223Eg"	0.11
"E.F"	"223Eh"	0.12
"E.F"	"223Fa"	0.05
"E.F"	"223Fb"	0.04
"E.F"	"223Fc"	0.11
"E.F"	"223Fd"	0.04
"E.F"	"223Fe"	0.03
"E.F"	"223Ff"	0.02
"E.F"	"223Gb"	0.03
"E.F"	"223Gc"	0.02
