"","Alabama","Alaska","Alberta","Antarctic_Continent","Arabian_Peninsula","Arizona","Arkansas","Australia","Brazil","British_Columbia","California","Caribbean","Caucasus","China","Colorado","Connecticut","Delaware","District_of_Columbia","East_Europe","East_Tropical_Africa","Eastern_Asia","Eastern_Canada","Florida","Georgia","Hawaii","Idaho","Illinois","Indian_Subcontinent","Indiana","Indo.China","Iowa","Kansas","Kentucky","Louisiana","Macaronesia","Maine","Malesia","Manitoba","Maryland","Massachusetts","Mesoamerica","Michigan","Middle_Asia","Middle_Atlantic_Ocean","Middle_Europe","Minnesota","Mississippi","Missouri","Mongolia","Montana","Nebraska","Nevada","New_Brunswick","New_Hampshire","New_Jersey","New_Mexico","New_York","New_Zealand","Newfoundland","North_Carolina","North_Dakota","North_Indian_Ocean","North.Central_Pacific","Northeast_Tropical_Africa","Northern_Africa","Northern_Europe","Northern_Mexico","Northern_South_America","Northwest_Territory","Northwestern_Pacific","Nova_Scotia","Nunavut","Ohio","Oklahoma","Ontario","Oregon","Pennsylvania","Prince_Edward_Island","Quebec","Rhode_Island","Russian_Far_East","Saskatchewan","Siberia","South_Carolina","South_Dakota","South_Tropical_Africa","South.Central_Pacific","Southeastern_Europe","Southern_Africa","Southern_Mexico","Southern_South_America","Southwestern_Europe","Southwestern_Pacific","Subantarctic_Islands","Subarctic_America","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West_Tropical_Africa","West_Virginia","West.Central_Tropical_Africa","Western_Asia","Western_Indian_Ocean","Western_South_America","Wisconsin","Wyoming","Yukon_Territory"
"Alabama",0,0.676171079429735,0.568014705882353,0.996978851963746,0.804694835680751,0.534421575585522,0.136038186157518,0.814569536423841,0.712155963302752,0.552859618717504,0.557837097878166,0.63963963963964,0.693076374018558,0.69237668161435,0.521562245728234,0.31634446397188,0.266968325791855,0.604342581423402,0.689484827099506,0.774081774081774,0.619750283768445,0.919655667144907,0.208244491826581,0.073134328358209,0.858513189448441,0.560553633217993,0.21411387329591,0.721484196060467,0.221017514595496,0.733406472846956,0.315044247787611,0.290756302521008,0.166939443535188,0.118347895154885,0.775023832221163,0.394594594594595,0.779472140762463,0.505555555555556,0.190553745928339,0.321678321678322,0.643742953776776,0.326565143824027,0.720634920634921,0.990990990990991,0.678624813153961,0.371673819742489,0.0766773162939297,0.183574879227053,0.729678638941399,0.531438415159345,0.371225577264654,0.579378068739771,0.502467917077986,0.384476534296029,0.269296740994854,0.525423728813559,0.284403669724771,0.911270983213429,0.623430962343096,0.118133935289692,0.492795389048991,0.923522595596756,0.996965098634294,0.758646063281825,0.741077676696991,0.674380165289256,0.551744529863986,0.716717325227963,0.703380588876772,0.906633906633907,0.492125984251969,0.937232524964337,0.238333333333333,0.215111796453354,0.351758793969849,0.548022598870056,0.25,0.588683351468988,0.433628318584071,0.345690454124189,0.619964973730298,0.548815165876777,0.682724252491694,0.0850077279752705,0.443151298119964,0.793914246196404,0.925531914893617,0.701473414477899,0.800673400673401,0.596330275229358,0.662769230769231,0.699138502319417,0.866133866133866,0.979441997063142,0.854033290653009,0.13201581027668,0.306096794468887,0.562550443906376,0.377938517179023,0.147262914417887,0.543386689132266,0.798484848484848,0.247659574468085,0.791816223977028,0.699757869249395,0.809437386569873,0.70293965961836,0.329299913569576,0.551724137931034,0.721329046087889
"Alaska",0.676171079429735,0,0.26525198938992,0.981707317073171,0.86593707250342,0.611162790697674,0.657638136511376,0.908163265306122,0.907801418439716,0.270731707317073,0.542147293700089,0.909836065573771,0.608247422680412,0.746835443037975,0.468156424581006,0.487562189054726,0.582360570687419,0.705050505050505,0.532779316712835,0.891794409377818,0.666666666666667,0.829201101928375,0.742777260018639,0.664015904572565,0.892,0.367396593673966,0.555312157721796,0.79448350459708,0.539884393063584,0.854936198791135,0.50251256281407,0.626168224299065,0.592342342342342,0.697297297297297,0.767832167832168,0.40979381443299,0.909555069292487,0.327077747989276,0.568232662192394,0.481481481481481,0.875,0.445754716981132,0.596112311015119,1,0.543824701195219,0.42719614921781,0.688453159041394,0.612334801762115,0.5,0.35912938331318,0.565656565656566,0.529279279279279,0.375552282768778,0.41343669250646,0.53125,0.56989247311828,0.477456647398844,0.868,0.257234726688103,0.612060301507538,0.47949080622348,0.977315689981096,1,0.880975609756098,0.715068493150685,0.465753424657534,0.783345615327929,0.925247902364607,0.193825042881647,0.970833333333333,0.387096774193548,0.76566757493188,0.524249422632795,0.673935617860852,0.390697674418605,0.398895027624309,0.503401360544218,0.405128205128205,0.329145728643216,0.503355704697987,0.381188118811881,0.345353675450763,0.439080459770115,0.66875,0.46360153256705,0.928057553956835,0.976076555023923,0.620211898940505,0.913119026933102,0.84934665641814,0.837335398915569,0.606808510638298,0.946026986506747,0.92507204610951,0.467561521252796,0.600429645542428,0.723150357995227,0.496132596685083,0.430051813471503,0.582554517133956,0.35052754982415,0.947261663286004,0.533888228299643,0.913125590179415,0.690440060698027,0.9296875,0.889096573208723,0.445929526123937,0.426150121065375,0.141903171953255
"Alberta",0.568014705882353,0.26525198938992,0,0.986175115207373,0.851851851851852,0.468247248094835,0.533527696793003,0.886115444617785,0.879947229551451,0.166306695464363,0.417680454176805,0.867269984917044,0.594202898550725,0.734265734265734,0.270729270729271,0.395604395604396,0.493728620296465,0.643926788685524,0.540790580319596,0.869958847736625,0.666232073011734,0.850746268656716,0.662425784563189,0.566546762589928,0.871287128712871,0.211206896551724,0.421000981354269,0.773913043478261,0.423274974253347,0.83448275862069,0.365853658536585,0.453222453222453,0.482897384305835,0.590688651794374,0.756394640682095,0.349206349206349,0.883547731888964,0.187793427230047,0.47,0.395196506550218,0.831824062095731,0.339622641509434,0.59108527131783,0.995433789954338,0.542342342342342,0.272145144076841,0.591796875,0.477317554240631,0.52289156626506,0.166130760986066,0.365256124721604,0.368209255533199,0.342675159235669,0.35,0.426439232409382,0.41541186891054,0.386199794026777,0.871287128712871,0.321428571428571,0.518619436875568,0.259532595325953,0.971653543307087,1,0.862068965517241,0.700249791840133,0.4989816700611,0.673274094326726,0.889908256880734,0.312046444121916,0.965870307167236,0.355329949238579,0.826638477801269,0.415637860082305,0.511693171188026,0.302277432712215,0.285855588526212,0.402834008097166,0.403762662807525,0.299334811529933,0.424206815511163,0.444201312910284,0.13180169286578,0.48155737704918,0.572232645403377,0.268841394825647,0.901477832512315,0.969465648854962,0.606901725431358,0.882259347653142,0.786780383795309,0.792412312097351,0.597189695550351,0.940491591203105,0.942604856512141,0.613019891500904,0.500482160077146,0.584739545121057,0.321463897131553,0.359908883826879,0.478016838166511,0.238790406673618,0.919413919413919,0.431890179514256,0.888412017167382,0.667134831460674,0.903890160183066,0.853886616014027,0.330462863293864,0.216738197424893,0.302127659574468
"Antarctic_Continent",0.996978851963746,0.981707317073171,0.986175115207373,0,0.995133819951338,0.99205298013245,0.993366500829187,0.992990654205608,0.998165137614679,0.988,0.992565055762082,1,0.991967871485944,0.996192893401015,0.989565217391304,0.987603305785124,0.991130820399113,1,0.99213630406291,0.994930291508238,0.994584837545126,1,0.99734395750332,0.997084548104956,0.955555555555556,0.98804780876494,0.989881956155143,0.996075866579464,0.988990825688073,1,0.991596638655462,0.992537313432836,0.992957746478873,0.996694214876033,0.989873417721519,0.986842105263158,0.998097050428164,0.985915492957746,0.993031358885017,0.987755102040816,0.998214285714286,0.988636363636364,0.99009900990099,1,0.991228070175439,0.98825831702544,0.996655518394649,0.993197278911565,0.985148514851485,0.988165680473373,0.991525423728814,0.98943661971831,0.983286908077994,0.986784140969163,0.98828125,0.991465149359886,0.988990825688073,0.955555555555556,0.980132450331126,0.991111111111111,0.984496124031008,1,1,0.994326241134752,0.992258064516129,0.989208633093525,0.994214079074253,0.997981836528759,0.977186311787072,1,0.983425414364641,1,0.989010989010989,0.993779160186625,0.988888888888889,0.98974358974359,0.98932384341637,0.977358490566038,0.987394957983193,0.985882352941176,0.987704918032787,0.985037406483791,0.989090909090909,0.996875,0.987041036717063,0.997474747474748,1,0.993384785005513,0.995186522262335,1,0.991761071060762,0.992982456140351,1,0.703703703703704,0.952755905511811,0.993453355155483,0.995731056563501,0.98974358974359,0.986725663716814,0.990668740279938,0.98874296435272,1,0.99232245681382,0.994587280108254,0.993987975951904,1,0.996887159533074,0.988071570576541,0.988142292490119,0.978494623655914
"Arabian_Peninsula",0.804694835680751,0.86593707250342,0.851851851851852,0.995133819951338,0,0.799654576856649,0.785288270377734,0.753772835583797,0.828533154722036,0.840531561461794,0.824793388429752,0.821949347659248,0.692173913043478,0.743304699343103,0.832310838445808,0.817361894024803,0.812646370023419,0.865051903114187,0.727272727272727,0.530201342281879,0.757776307081403,0.968609865470852,0.773356401384083,0.796143250688705,0.831903945111492,0.843093922651934,0.805220883534137,0.658385093167702,0.805907172995781,0.758269720101781,0.806598407281001,0.787007454739084,0.806385169927909,0.779761904761905,0.566416040100251,0.830034924330617,0.757909215955983,0.840772014475271,0.795291709314227,0.816349384098544,0.82403151674327,0.821697099892589,0.653121902874133,0.971084337349398,0.740570377184913,0.829321663019694,0.788211788211788,0.788092835519677,0.742255266418835,0.848351648351648,0.798857142857143,0.818743563336766,0.834645669291339,0.820303383897316,0.805464480874317,0.79746835443038,0.812236286919831,0.890222984562607,0.863829787234043,0.794063079777365,0.830379746835443,0.859477124183007,0.995098039215686,0.42057761732852,0.529711375212224,0.75808133472367,0.809722222222222,0.835007173601148,0.864864864864865,0.872113676731794,0.837908496732026,0.96,0.812434141201264,0.776290630975143,0.832449628844115,0.846153846153846,0.807253886010363,0.87125748502994,0.829351535836177,0.814009661835749,0.809203142536476,0.845771144278607,0.754459601259182,0.794822627037392,0.824480369515012,0.578242677824268,0.900199600798403,0.693129770992366,0.589951377633712,0.812138728323699,0.799126637554585,0.688394276629571,0.805333333333333,0.981395348837209,0.932075471698113,0.804733727810651,0.794029850746269,0.821862348178138,0.829239766081871,0.810707456978968,0.83974358974359,0.567820392890552,0.813852813852814,0.607705779334501,0.591720199857245,0.628672150411281,0.836492890995261,0.818984547461369,0.841584158415842,0.873900293255132
"Arizona",0.534421575585522,0.611162790697674,0.468247248094835,0.99205298013245,0.799654576856649,0,0.482962962962963,0.835308796007486,0.751769188894937,0.45308740978348,0.271557271557272,0.730418943533698,0.681392235609103,0.742574257425743,0.264750378214826,0.545085296506905,0.579298831385643,0.761388286334056,0.672847682119205,0.798177083333333,0.707816711590296,0.918987341772152,0.572,0.533845080251221,0.883495145631068,0.385108086469175,0.47910447761194,0.753954305799649,0.504643962848297,0.813152400835073,0.486508585445626,0.409197194076383,0.526996197718631,0.535502958579882,0.779334500875657,0.556109725685786,0.840934371523915,0.507246376811594,0.535200605601817,0.539207760711399,0.677557579003749,0.509019607843137,0.676274944567627,0.992094861660079,0.6701607267645,0.48489666136725,0.544981412639405,0.474157303370787,0.694178974804518,0.376395534290271,0.417555373256768,0.250190114068441,0.598553345388788,0.548709408825978,0.534551231135822,0.126896551724138,0.523219814241486,0.900755124056095,0.637750238322212,0.524613220815752,0.465608465608466,0.949790794979079,0.997340425531915,0.786501377410468,0.709592641261498,0.663852647735994,0.332959641255605,0.762945914844649,0.643564356435644,0.947078280044101,0.592425608656447,0.916876574307305,0.511214230471771,0.410071942446043,0.518259518259518,0.391891891891892,0.500381970970206,0.66600790513834,0.547015535568275,0.575085324232082,0.637246963562753,0.477351916376307,0.651503469545104,0.545782263878875,0.39504132231405,0.823261858349578,0.950295857988166,0.686819830713422,0.818757921419518,0.578703703703704,0.646100116414435,0.686641697877653,0.90127970749543,0.968992248062015,0.816933638443936,0.522827687776141,0.332541567695962,0.219219219219219,0.547956630525438,0.520863309352518,0.409375,0.840056617126681,0.537854889589905,0.826379542395693,0.699713467048711,0.851046025104602,0.710629921259842,0.5088,0.347166799680766,0.633528265107212
"Arkansas",0.136038186157518,0.657638136511376,0.533527696793003,0.993366500829187,0.785288270377734,0.482962962962963,0,0.812543073742247,0.728189910979228,0.525114155251142,0.536376604850214,0.673578595317726,0.676602086438152,0.695992630124367,0.466666666666667,0.32159406858202,0.279158699808795,0.581818181818182,0.677466863033873,0.771676300578035,0.632413388138579,0.912225705329154,0.295252225519288,0.172521467603435,0.850322580645161,0.529626253418414,0.175084175084175,0.722222222222222,0.192982456140351,0.736961451247165,0.264239028944911,0.206012378426172,0.165950128976784,0.155,0.761616161616162,0.389153187440533,0.775212636695018,0.469147894221352,0.218135158254919,0.325345622119816,0.661807580174927,0.300089047195013,0.703580349708576,0.990115321252059,0.666927286942924,0.330922242314647,0.160100586756077,0.102282333051564,0.711711711711712,0.493647912885662,0.300843486410497,0.532244196044712,0.490566037735849,0.38417540514776,0.277326106594399,0.466872110939908,0.287719298245614,0.899354838709677,0.607580824972129,0.190551181102362,0.433808553971487,0.917910447761194,0.996666666666667,0.758461538461538,0.725547445255474,0.659426585577758,0.547794117647059,0.735182849936948,0.680652680652681,0.907284768211921,0.4858934169279,0.922118380062305,0.223488168273444,0.137318255250404,0.33215859030837,0.533898305084746,0.251512532411409,0.581395348837209,0.421101774042951,0.352941176470588,0.602954755309326,0.508032128514056,0.671615720524017,0.178947368421053,0.385633270321361,0.79379956741168,0.927849927849928,0.691078561917443,0.79523141654979,0.610406091370558,0.666666666666667,0.691034482758621,0.855626326963907,0.97427652733119,0.839335180055402,0.154228855721393,0.2911227154047,0.51864406779661,0.365807067812798,0.197092084006462,0.524822695035461,0.801744647105472,0.252688172043011,0.790104947526237,0.692404268675455,0.806327900287632,0.720212765957447,0.304189435336976,0.50408719346049,0.697940503432494
"Australia",0.814569536423841,0.908163265306122,0.886115444617785,0.992990654205608,0.753772835583797,0.835308796007486,0.812543073742247,0,0.7781217750258,0.872403560830861,0.84773413897281,0.754004576659039,0.842006269592476,0.656765676567657,0.870695713281799,0.845345345345345,0.844495765973826,0.910068426197458,0.852265673494724,0.632254123396457,0.611451942740286,0.975308641975309,0.767645221736415,0.809647979139505,0.821011673151751,0.872592592592593,0.839000693962526,0.612957509465713,0.840631730078966,0.577590480912246,0.854984894259819,0.828034682080925,0.840395480225989,0.797660013764625,0.814963797264682,0.857361963190184,0.466034755134281,0.883830455259027,0.822784810126582,0.844544095665172,0.766260162601626,0.848837209302326,0.852819807427785,0.983720930232558,0.851174934725849,0.849889624724062,0.802213001383126,0.832869080779944,0.886581469648562,0.88339483394834,0.851515151515152,0.854519774011299,0.872410936205468,0.857142857142857,0.835294117647059,0.845261121856867,0.842067480258435,0.766536964980545,0.897391304347826,0.810899540380827,0.878542510121457,0.767265846736045,0.997655334114889,0.654861558274308,0.796672828096118,0.86039886039886,0.813262599469496,0.77379010331702,0.917191719171917,0.763888888888889,0.874380165289256,0.984357541899441,0.842180774748924,0.81757209926224,0.855907780979827,0.86880669923238,0.835460992907801,0.908355795148248,0.868580060422961,0.847604084838963,0.865269461077844,0.88630904723779,0.874105865522175,0.815860215053763,0.868802440884821,0.652439024390244,0.841437632135307,0.846153846153846,0.68314472900536,0.776927282668125,0.760307861462342,0.839107457428068,0.593305439330544,0.974857142857143,0.944615384615385,0.832762165867032,0.800560224089636,0.864619678995115,0.856923076923077,0.825620389000671,0.86676321506155,0.677675033025099,0.852447041636231,0.689981096408318,0.796316359696641,0.632716049382716,0.777777777777778,0.847520355292376,0.881831610044313,0.921916592724046
"Brazil",0.712155963302752,0.907801418439716,0.879947229551451,0.998165137614679,0.828533154722036,0.751769188894937,0.728189910979228,0.7781217750258,0,0.865992414664981,0.823186871360508,0.366296670030272,0.866593767085839,0.799849510910459,0.835847917923959,0.812260536398467,0.795172863666014,0.885441527446301,0.877506775067751,0.729556386958846,0.767123287671233,0.973333333333333,0.6283378746594,0.709276018099548,0.881141045958796,0.863636363636364,0.765970149253731,0.770968977403294,0.776275353411186,0.775211017325633,0.803594351732991,0.766378244746601,0.763636363636364,0.704801422643746,0.870006770480704,0.837451235370611,0.758087201125176,0.864721485411141,0.764492753623188,0.812977099236641,0.341507720254314,0.816149068322981,0.881516587677725,0.992687385740402,0.87202718006795,0.822975517890772,0.714285714285714,0.758083832335329,0.904441453566622,0.862806796727502,0.808236808236808,0.843636363636364,0.861207494795281,0.833333333333333,0.787954830614806,0.775910364145658,0.803318992009834,0.922345483359746,0.894508670520231,0.738190096755834,0.861130020422056,0.907048799380325,0.998160073597056,0.750419697817571,0.843834141087776,0.88034188034188,0.632845681925437,0.23589001447178,0.913754646840149,0.888888888888889,0.858725761772853,0.984056687333924,0.785012285012285,0.742608695652174,0.826140567200986,0.863227354529094,0.782238442822384,0.885671863400148,0.847240051347882,0.820836098208361,0.880254777070064,0.870532703978422,0.89093137254902,0.722415795586527,0.833009708737864,0.734258271077908,0.925423728813559,0.864253393665158,0.764767381076843,0.468734852157053,0.320019483682416,0.864739287558079,0.832050384884535,0.983769161406673,0.950372208436725,0.756645008860012,0.678058444774641,0.838032393521296,0.833116036505867,0.754202898550725,0.863777089783282,0.729977116704805,0.797878976918278,0.729818780889621,0.845192307692308,0.766013071895425,0.228559357836924,0.813249211356467,0.869017632241814,0.920646583394563
"British_Columbia",0.552859618717504,0.270731707317073,0.166306695464363,0.988,0.840531561461794,0.45308740978348,0.525114155251142,0.872403560830861,0.865992414664981,0,0.337952270977675,0.854885057471264,0.583535108958838,0.715667311411992,0.310215557638238,0.389344262295082,0.480381760339343,0.673163418290855,0.518725099601594,0.853239656518345,0.64125,0.876635514018692,0.644979919678715,0.544991511035654,0.87797619047619,0.191146881287726,0.423041474654378,0.757545769421079,0.42526518804243,0.82059000602047,0.390495867768595,0.480544747081712,0.471698113207547,0.584320875113947,0.740698985343856,0.350210970464135,0.869086195722618,0.259259259259259,0.454033771106942,0.384928716904277,0.817617866004963,0.347058823529412,0.590163934426229,0.996031746031746,0.520408163265306,0.312063808574277,0.576146788990826,0.477777777777778,0.540178571428571,0.185185185185185,0.408713692946058,0.373584905660377,0.346650998824912,0.350951374207188,0.418326693227092,0.419246861924686,0.373191899710704,0.866071428571429,0.35264483627204,0.489288774635818,0.351535836177474,0.971469329529244,1,0.846282372598162,0.682715074980268,0.473282442748092,0.644211903204709,0.881321645313554,0.348344370860927,0.960122699386503,0.360655737704918,0.844155844155844,0.408477842003854,0.525991189427313,0.304263565891473,0.177344475394615,0.392789373814042,0.424042272126816,0.291322314049587,0.415485278080698,0.430612244897959,0.254199328107503,0.468330134357006,0.545936395759717,0.327748691099476,0.886292834890966,0.96271186440678,0.58541815582559,0.869992441421013,0.778682959945689,0.77717019822283,0.572383073496659,0.928486293206198,0.946050096339114,0.644588045234249,0.485040797824116,0.589923023093072,0.329619312906221,0.364406779661017,0.459030837004405,0.12,0.903281519861831,0.427443237907206,0.871649065800162,0.65503355704698,0.895744680851064,0.842431063590321,0.348743718592965,0.254509018036072,0.335927367055772
